,name,rating,review_count,latitude,longitude,categories,location,city_bikes_ll
202,Le Ballon des Ternes,3.5,50,48.880597630898,2.2854221949609,French,103 avenue Ternes,"48.88287775178599,2.287667370814871"
203,Le Relais de Venise - l'Entrecôte,4.0,289,48.878045,2.285062,"Desserts, Barbeque",271 boulevard Pereire,"48.88287775178599,2.287667370814871"
204,La Casa di Sergio,4.0,46,48.879607702442996,2.2893595989497997,Italian,77 ave Ternes,"48.88287775178599,2.287667370814871"
205,Da Franco,4.0,16,48.881331521726295,2.28611002827643,Italian,21 rue Ruhmkorff,"48.88287775178599,2.287667370814871"
207,Trattoria di Bellagio,3.5,46,48.88046,2.28556,"Italian, Pizza",101 avenue des Ternes,"48.88287775178599,2.287667370814871"
208,Le Franc Tireur,4.0,50,48.8790379940633,2.2910813852846403,Brasseries,34 rue d'Armaillé,"48.88287775178599,2.287667370814871"
209,New York à Paris,4.0,9,48.8816092,2.2887842999999997,"Burgers, French",33 rue Guersant,"48.88287775178599,2.287667370814871"
211,La Maison,4.0,86,48.87805,2.2883,"Bistros, Brasseries",28 place Saint Ferdinand,"48.88287775178599,2.287667370814871"
212,Léon de Bruxelles,4.0,49,48.8787382,2.2845456000000004,"Seafood, Belgian",95 boulevard Gouvion Saint Cyr,"48.88287775178599,2.287667370814871"
214,Paris XVII,4.5,19,48.882268835579005,2.2882651718518,French,41 rue Guersant,"48.88287775178599,2.287667370814871"
217,L'Ambre Bar,4.5,30,48.8787095,2.2877118999999997,Cocktail Bars,29 rue Brunel,"48.88287775178599,2.287667370814871"
218,UC-61,4.5,24,48.8766231,2.2939537999999997,Cocktail Bars,4 rue de l'Arc-de-Triomphe,"48.88287775178599,2.287667370814871"
219,Gabylou,4.5,19,48.87793,2.2915799999999997,French,15 rue d'Armaillé,"48.88287775178599,2.287667370814871"
223,Radiodays,4.5,41,48.871590000000005,2.36728,"Coffee & Tea, Breakfast & Brunch, Patisserie/Cake Shop",15 rue Alibert,"48.871044051984,2.3661044619878"
224,Fric-Frac,4.5,28,48.872440999999995,2.3640060000000003,"French, Sandwiches",79 quai de Valmy,"48.871044051984,2.3661044619878"
226,le cambodge,4.0,149,48.8721809678125,2.36618243157864,"Cambodian, Pan Asian, Vegetarian",10 avenue Richerand,"48.871044051984,2.3661044619878"
227,Du Pain et des Idées,4.5,474,48.8712,2.3628999,Bakeries,34 rue Yves Toudic,"48.871044051984,2.3661044619878"
228,Holybelly 19,4.5,300,48.87213,2.36078,"Breakfast & Brunch, Cafes, Desserts",19 rue Lucien Sampaix,"48.871044051984,2.3661044619878"
229,Le Verre Volé,4.0,110,48.87284429772549,2.36354442418734,"Wine Bars, Bistros",67 rue Lancry,"48.871044051984,2.3661044619878"
230,Two Stories,5.0,9,48.8714683,2.3657338,"American (Traditional), Cajun/Creole",72 quai de Jemmapes,"48.871044051984,2.3661044619878"
231,Le Bichat,4.5,80,48.8697,2.36916,"Cafes, Breakfast & Brunch",11 rue Bichat,"48.871044051984,2.3661044619878"
232,Le Comptoir Général,4.0,211,48.87215,2.36502,"Venues & Event Spaces, Cocktail Bars",80 quai de Jemmapes,"48.871044051984,2.3661044619878"
234,Le Petit Cambodge,3.5,109,48.871673,2.368088,"Cambodian, Pan Asian, Vegetarian",20 rue Alibert,"48.871044051984,2.3661044619878"
235,Piccoli Cugini,4.0,63,48.87316,2.36187,"Italian, Pizza",34 rue des Vinaigriers,"48.871044051984,2.3661044619878"
236,Holybelly 5,4.5,275,48.871021999999996,2.359819,"Breakfast & Brunch, Coffee & Tea",5 rue Lucien Sampaix,"48.871044051984,2.3661044619878"
237,Les Enfants Perdus,4.0,132,48.874390000000005,2.3620099999999997,"French, Cocktail Bars",9 rue des Recollets,"48.871044051984,2.3661044619878"
239,Tien Hiang,4.0,67,48.87025,2.36895,"Vegetarian, Vegan, Pan Asian",14 rue Bichat,"48.871044051984,2.3661044619878"
241,Le Soufflé,4.0,302,48.86645,2.32647,French,36 rue du Mont Thabor,"48.874422773426545,2.3284685611724854"
